rowLabel	nucleusstarttime	nucleusendtime	nucleusdur	medianpitch	meanpitch	startpitch	endpitch	lopitch	hipitch	dynamic	intrasyllab	intrasyllabup	intersyllab	trajectory	internucleusdur	syllabledur	pausedur	loudness	endtime_syll	promL2R1D_sylldur	promL2R1D_meanpitch	hesitation
9.106	9.1055625	9.210562500000016	0.10500000000001641	233.10063392939557	94.35430951270153	233	233	233	233.10063392939557	0	0.526897879553983	0.526897879553983	1.20783641674436	0.526897879553983	0.019999999999994245	0.129999999999999	0.007499999999982521	0	9.218062499999999	0	0	0
9.218	9.218062499999999	9.313062500000013	0.09500000000001485	240.3342803241545	94.84942803379141	240	240	240	240.3342803241545	0	0.4211984407490025	0.4211984407490025	0.5290741855252157	0.4211984407490025	0.007499999999982521	0.16000000000000014	0.12749999999998707	0	9.378062499999999	0	0	0
9.441	9.4405625	9.485562500000007	0.045000000000007034	229.88129382805582	94.03837333582409	229	229	229	229.88129382805582	0	-0.5787999966453379	0	-0.7698404312227918	0.5787999966453379	0.12749999999998707	0.2400000000000002	0.19999999999999218	0	9.618062499999999	0	0	0
9.686	9.6855625	9.770562500000013	0.08500000000001329	262.96683530000143	96.39014339602896	262	262	262	262.96683530000143	0	1.2491268054280213	1.2491268054280213	2.3279014543006644	1.2491268054280213	0.19999999999999218	0.16000000000000014	0.044999999999987494	0	9.778062499999999	0	0	0
9.816	9.8155625	9.870562500000009	0.0550000000000086	277.7439902796512	97.36983381563408	277	277	277	277.7439902796512	0	-1.0656813695314469	0	0.9464980014049569	1.0656813695314469	0.044999999999987494	0.09999999999999965	0.007499999999989626	0	9.878062499999999	0	0	0
9.878	9.878062499999999	10.008062500000019	0.13000000000002032	250.21891018963086	95.68684796627007	250	250	250	250.21891018963086	0	-1.4091293944398808	0	-1.8067784491020393	1.4091293944398808	0.007499999999989626	0.19000000000000128	0.18249999999998145	0	10.0680625	0	0	0
10.191	10.1905625	10.285562500000015	0.09500000000001485	237.84095369458092	94.76588126452572	237	237	237	237.84095369458092	0	-1.7633790913178966	0	-0.8783240569340982	1.7633790913178966	0.18249999999998145	0.21999999999999886	0.04999999999998472	0	10.288062499999999	0	0	0
10.336	10.3355625	10.415562500000012	0.0800000000000125	207.0674935034182	92.43286560686397	207	207	207	207.0674935034182	0	-1.3950798755310014	0	-2.3987527617340327	1.3950798755310014	0.04999999999998472	0.13000000000000078	0.004999999999986571	0	10.4180625	0	0	0
10.421	10.420562499999999	10.61556250000003	0.19500000000003048	203.16018389319473	92.74693443505989	199	265	199	265.0040130526579	1	4.060394669107446	4.802121286959228	-0.6602824005640853	5.543847904811009	0.004999999999986571	0.34999999999999964	0.40999999999996994	0	10.7680625	0	0	0
11.026	11.0255625	11.065562500000006	0.04000000000000625	207.88553677037925	92.42165784149286	207	207	207	207.88553677037925	0	-0.16379222012215192	0	-4.202697817172585	0.16379222012215192	0.40999999999996994	0.10000000000000142	0.11999999999999389	0	11.0680625	0	0	0
11.186	11.1855625	11.325562500000022	0.14000000000002188	233.8332329667788	94.4892411236415	233	233	233	233.8332329667788	0	1.875002750893111	1.875002750893111	2.0362871386144414	1.875002750893111	0.11999999999999389	0.2599999999999998	0.004999999999977689	0	11.3280625	0	0	0
11.331	11.3305625	11.440562500000016	0.1100000000000172	208.1111847530104	92.79328333685704	240	190	190	240.75498336756343	-1	-4.046469636515919	0	0.505028120604319	4.046469636515919	0.004999999999977689	0.16000000000000014	0.15999999999998415	0	11.4880625	0	0	0
11.601	11.6005625	11.645562500000008	0.045000000000007034	228.46133215119642	93.97720923289639	228	228	228	228.46133215119642	0	-1.2436580049269184	0	3.1390817687657995	1.2436580049269184	0.15999999999998415	0.16000000000000014	0.044999999999992824	0	11.6480625	0	0	0
11.691	11.6905625	11.785562500000015	0.09500000000001485	182.75773654699708	90.39091993030475	215	171	171	215.26516925166206	-1	-3.9564256932185966	0	-1.0300212033964453	3.9564256932185966	0.044999999999992824	0.1399999999999988	0.004999999999984794	0	11.788062499999999	0	0	0
11.791	11.7905625	11.895562500000016	0.10500000000001641	162.05926570099618	87.97288611701816	162	162	162	162.05926570099618	0	-2.9905685529395694	0	-0.9586950576503623	2.9905685529395694	0.004999999999984794	0.15000000000000036	0.7599999999999838	0	11.9380625	0	0	0
12.656	12.6555625	12.680562500000004	0.025000000000003908	206.24497108567772	92.25663307012437	206	206	206	206.24497108567772	0	-1.2700037694803454	0	4.174049201797921	1.2700037694803454	0.7599999999999838	0.17999999999999972	0.12499999999999645	0	12.6960625	0	0	0
12.806	12.8055625	12.850562500000008	0.045000000000007034	190.3537991903242	91.04386967666555	190	190	190	190.3537991903242	0	-1.917382965451413	0	-1.388106935150689	1.917382965451413	0.12499999999999645	0.16000000000000014	0.09499999999999176	0	12.8560625	0	0	0
12.946	12.9455625	12.960562500000002	0.015000000000002345	227.28760255872623	93.92625225919706	227	227	227	227.28760255872623	0	0.5385968255982488	0.5385968255982488	3.0700275591664052	0.5385968255982488	0.09499999999999176	0.10999999999999943	0.00549999999999784	0	12.9660625	0	0	0
12.966	12.9660625	13.051062500000013	0.08500000000001329	244.6036343585409	95.11799185949057	244	244	244	244.6036343585409	0	1.3118750289141012	1.3118750289141012	1.2711221466810965	1.3118750289141012	0.00549999999999784	0.08999999999999986	0.004999999999986571	0	13.0560625	0	0	0
13.056	13.0560625	13.201062500000022	0.14500000000002267	241.6729397026048	94.90783683750989	241	241	241	241.6729397026048	0	-2.1988684699716963	0	-0.20867876750069037	2.1988684699716963	0.004999999999986571	0.15000000000000036	0.004999999999977689	0	13.2060625	0	0	0
13.206	13.2060625	13.416062500000033	0.21000000000003283	222.80354532233636	94.2770306014368	215	276	215	276.02968080458567	1	3.427044704193526	4.1300365255568225	-1.9563557352956873	4.833028346920119	0.004999999999977689	0.41000000000000014	0.2794999999999668	0	13.6160625	0	0	0
13.696	13.6955625	13.730562500000005	0.03500000000000547	234.9802239402316	94.45144881589883	234	234	234	234.9802239402316	0	0.6685766685308466	0.6685766685308466	-2.7874087312015448	0.6685766685308466	0.2794999999999668	0.10000000000000142	0.14499999999999424	0	13.7460625	0	0	0
13.876	13.8755625	13.925562500000007	0.050000000000007816	265.5689264495045	96.47000341389159	265	265	265	265.5689264495045	0	-1.6718726571277265	0	2.1185640783366546	1.6718726571277265	0.14499999999999424	0.1899999999999995	0.05999999999999339	0	13.9360625	0	0	0
13.986	13.9855625	14.070562500000014	0.08500000000001329	215.03359474237976	93.16062554041642	215	215	215	215.03359474237976	0	-3.045354941375284	0	-3.654291365843024	3.045354941375284	0.05999999999999339	0.23000000000000043	0.09549999999998704	0	14.1660625	0	0	0
14.166	14.1660625	14.28606250000002	0.12000000000001876	159.7843190985144	87.8453332004905	177	147	147	177.13762718787018	-1	-3.026020828418759	0	-3.3562964542994145	3.026020828418759	0.09549999999998704	0.14999999999999858	1.3394999999999797	0	14.3160625	0	0	0
15.626	15.6255625	15.69056250000001	0.06500000000001016	266.1071029601693	96.59822374912402	266	266	266	266.1071029601693	0	1.858376346276255	1.858376346276255	10.172369303221082	1.858376346276255	1.3394999999999797	0.13000000000000078	0.09999999999999076	0	15.696062500000002	0	0	0
15.791	15.7905625	15.875562500000013	0.08500000000001329	215.64222483088827	93.15431458419624	215	215	215	215.64222483088827	0	-3.3875985743709256	0	-3.6404078408559766	3.3875985743709256	0.09999999999999076	0.1899999999999995	0.07999999999998586	0	15.886062500000001	0	0	0
15.956	15.9555625	15.990562500000005	0.03500000000000547	186.88244497959994	90.47773355985562	186	186	186	186.88244497959994	0	-0.8830350076283218	0	-2.4781037420550085	0.8830350076283218	0.07999999999998586	0.120000000000001	0.04999999999999538	0	16.006062500000002	0	0	0
16.041	16.0405625	16.09556249999999	0.05499999999998906	173.55930985759113	89.2569935928782	173	173	173	173.55930985759113	0	-0.761496132431335	0	-1.2804275960445208	0.761496132431335	0.04999999999999538	0.08999999999999986	0.09500000000000952	0	16.096062500000002	0	0	0
16.191	16.1905625	16.23556249999999	0.04499999999999105	183.10916640945877	90.16929638952433	183	183	183	183.10916640945877	0	0.27239490355062723	0.27239490355062723	0.927303113295824	0.27239490355062723	0.09500000000000952	0.14000000000000057	0.0005000000000130456	0	16.236062500000003	0	0	0
16.236	16.236062500000003	16.431062499999964	0.1949999999999612	174.84667945719906	89.30476271800865	174	174	174	174.84667945719906	0	-1.591991880324787	0	-0.799363393763684	1.591991880324787	0.0005000000000130456	0.3299999999999983	0.5045000000000357	0	16.5660625	0	0	0
16.936	16.9355625	16.98556249999999	0.04999999999999005	226.4977639285845	93.87193793029938	226	226	226	226.4977639285845	0	1.5993702791509825	1.5993702791509825	4.4808769161728605	1.5993702791509825	0.5045000000000357	0.14000000000000057	0.1600000000000108	0	16.986062500000003	0	0	0
17.146	17.1455625	17.185562499999993	0.03999999999999204	271.2265240276622	96.87438202663815	271	271	271	271.2265240276622	0	-0.9503169931338822	0	3.120017558276307	0.9503169931338822	0.1600000000000108	0.1999999999999993	0.0005000000000094929	0	17.186062500000002	0	0	0
17.186	17.186062500000002	17.30106249999998	0.11499999999997712	251.94860293063738	95.79642321261362	251	251	251	251.94860293063738	0	-1.2042434930973722	0	-1.2764257703749065	1.2042434930973722	0.0005000000000094929	0.120000000000001	0.14950000000002106	0	17.306062500000003	0	0	0
17.451	17.4505625	17.490562499999992	0.03999999999999204	236.6260622016723	94.5829824996911	236	236	236	236.6260622016723	0	-0.9095650318773962	0	-1.086245692555484	0.9095650318773962	0.14950000000002106	0.18999999999999773	0.19000000000000838	0	17.4960625	0	0	0
17.681	17.6805625	17.74056249999999	0.05999999999998806	181.0619059665234	89.98195268148855	181	181	181	181.0619059665234	0	-0.8375111876271699	0	-4.633511230306423	0.8375111876271699	0.19000000000000838	0.28999999999999915	0.6500000000000128	0	17.7860625	0	0	0
18.391	18.3905625	18.435562499999993	0.04499999999999105	253.58965060777206	95.82267730599129	253	253	253	253.58965060777206	0	0.6611773751892087	0.6611773751892087	5.832153861136922	0.6611773751892087	0.6500000000000128	0.16000000000000014	0.14000000000000767	0	18.4500625	0	0	0
18.576	18.5755625	18.62056249999999	0.04499999999999105	335.01935020660335	100.56617943676137	335	335	335	335.01935020660335	0	-0.5446210037677512	0	4.820982693782074	0.5446210037677512	0.14000000000000767	0.17999999999999972	0.1150000000000091	0	18.6300625	0	0	0
18.736	18.7355625	18.850562499999977	0.11499999999997712	172.44007500861883	89.82273507440549	222	169	169	222.10291144172055	-1	-4.993510308248776	0	-7.116193454734287	4.993510308248776	0.1150000000000091	0.2799999999999976	0.675000000000022	0	18.9100625	0	0	0
19.526	19.5255625	19.555562499999994	0.02999999999999403	215.08344811406977	93.05087713546307	215	215	215	215.08344811406977	0	0.24382816130387214	0.24382816130387214	4.135233973235735	0.24382816130387214	0.675000000000022	0.6500000000000021	0.005000000000006111	0	19.5600625	0	0	0
19.561	19.5605625	19.675562499999977	0.11499999999997712	248.11950589783788	95.34241213006906	248	248	248	248.11950589783788	0	2.6159371721995472	2.6159371721995472	2.473663818690886	2.6159371721995472	0.005000000000006111	0.11999999999999744	0.10000000000002274	0	19.6800625	0	0	0
19.776	19.7755625	19.860562499999983	0.08499999999998309	271.5495954287929	96.79884455867781	271	271	271	271.5495954287929	0	-1.494853390416385	0	1.5621666814621542	1.494853390416385	0.10000000000002274	0.19000000000000128	0.1100000000000172	0	19.8700625	0	0	0
19.971	19.9705625	20.095562499999975	0.12499999999997513	274.34655893176205	96.94698012640515	274	274	274	274.34655893176205	0	2.0242199703223345	2.0242199703223345	0.1774052000156045	2.0242199703223345	0.1100000000000172	0.23000000000000043	0.09500000000002373	0	20.1000625	0	0	0
20.191	20.1905625	20.22556249999999	0.03499999999999304	274.2191861181953	97.10102247290938	274	274	274	274.2191861181953	0	-0.6624383823767833	0	-0.00803958897269259	0.6624383823767833	0.09500000000002373	0.129999999999999	0.05500000000000682	0	20.2300625	0	0	0
20.281	20.2805625	20.32556249999999	0.04499999999999105	268.12258770101346	96.68361995257594	268	268	268	268.12258770101346	0	-0.7277197074516781	0	-0.38924102430775953	0.7277197074516781	0.05500000000000682	0.10000000000000142	0.13500000000000867	0	20.3300625	0	0	0
20.461	20.460562499999998	20.50556249999999	0.04499999999999105	236.23292638887412	94.56241238484873	236	236	236	236.23292638887412	0	-1.1033565439948916	0	-2.1921923960453857	1.1033565439948916	0.13500000000000867	0.17999999999999972	0.14000000000001123	0	20.5100625	0	0	0
20.646	20.6455625	20.70556249999999	0.05999999999998806	175.3214463949249	89.54440555930707	175	175	175	175.3214463949249	0	-1.7229927020193276	0	-5.1624909224612345	1.7229927020193276	0.14000000000001123	0.35999999999999943	2.360562500000011	0	20.8700625	0	0	0
